"#","source","filename","r2_key","r2_public_url","status","size_kb"
"21","products/743950a2-0dbd-46c1-94ca-0ccccac0e59c — ""MIU MIU — Glimpse""","1780692015087_0i9wnq.JPG","nyvarastore/products/1780692015087_0i9wnq.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780692015087_0i9wnq.JPG","copied","2123.6"
"22","products/d2085dce-8c34-49d1-a30c-88b60fd1f748 — ""CARTIER — Panthère""","1780455393956_5w1yei.jpg","nyvarastore/products/1780455393956_5w1yei.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780455393956_5w1yei.jpg","copied","50.2"
"23","products/37cf8bc8-4b70-40a3-984c-f7b02ebbdb24 — ""CARTIER — C Décor Rimless""","1780634060706_2k8brr.jpg","nyvarastore/products/1780634060706_2k8brr.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780634060706_2k8brr.jpg","copied","47.2"
"24","products/9fd06901-3740-4f17-84ec-82d4c4df9c68 — ""1.1 Millionaires Black""","1780634446099_34y88.jpg","nyvarastore/products/1780634446099_34y88.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780634446099_34y88.jpg","copied","44.6"
"25","products/4780ff7b-bd83-48df-810c-46e6cdc69dbe — ""Dealan Black""","1780690499328_54poma.JPG","nyvarastore/products/1780690499328_54poma.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780690499328_54poma.JPG","copied","2138.7"
"26","products/67475148-0b88-49c5-ae94-e0dcd5b8fc44 — ""Lunettes Sport Y2K Wraparound""","1778239425035_mhr3rj.jpg","nyvarastore/products/1778239425035_mhr3rj.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1778239425035_mhr3rj.jpg","copied","36.8"
"27","products/3d916995-98da-4766-880a-84ae571b083f — ""lacoste sport ""","1780690146820_vgjmxl.JPG","nyvarastore/products/1780690146820_vgjmxl.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780690146820_vgjmxl.JPG","copied","2219.8"
"28","products/ead540cc-5a19-46de-ad4b-ec525f7b7631 — ""Lunettes de Sport - AÉRO""","1780635097890_imv5eb.jpg","nyvarastore/products/1780635097890_imv5eb.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780635097890_imv5eb.jpg","copied","612.9"
"29","products/cd90c397-6a02-4492-964f-10332d7351ed — ""Serpenti Aura ""","1780704326078_ih7mgo.webp","nyvarastore/products/1780704326078_ih7mgo.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780704326078_ih7mgo.webp","copied","13.8"
"30","products/3d12194c-0964-4dab-9182-ba39c5bdb1d3 — ""Celine Triomphe Metal Oval ""","1780691620928_ayh8je.webp","nyvarastore/products/1780691620928_ayh8je.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780691620928_ayh8je.webp","copied","24.2"
"31","products/b8df689b-5e7b-4f11-8a98-d045af24fd33 — ""Tom ford Aviateur Carrées""","1780689079663_ejtxoh.JPG","nyvarastore/products/1780689079663_ejtxoh.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780689079663_ejtxoh.JPG","copied","2122.4"
"32","products/6371b284-0f8c-4307-af38-4e385a1275f9 — ""Montre cartier bicouleur mini""","1780845650511_yxf3r.jpg","nyvarastore/products/1780845650511_yxf3r.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780845650511_yxf3r.jpg","copied","176.5"
"33","products/b2de64ab-91be-45b0-a511-2701528556f3 — ""Boss integrity black""","1780854256254_64mzmh.jpg","nyvarastore/products/1780854256254_64mzmh.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780854256254_64mzmh.jpg","copied","131.8"
"34","products/7e438a50-f614-4a94-9a28-a20f216bbd48 — ""Rayban Onyx Edge ""","1780855441901_zeog5.webp","nyvarastore/products/1780855441901_zeog5.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780855441901_zeog5.webp","copied","15.8"
"35","gallery/product_id:67475148-0b88-49c5-ae94-e0dcd5b8fc44","1778239711974_ksy7ui.jpg","nyvarastore/products/1778239711974_ksy7ui.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1778239711974_ksy7ui.jpg","copied","33.0"
"36","gallery/product_id:67475148-0b88-49c5-ae94-e0dcd5b8fc44","1778240374339_0lyx06.png","nyvarastore/products/1778240374339_0lyx06.png","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1778240374339_0lyx06.png","copied","2125.8"
"37","gallery/product_id:755f91f2-c272-49d8-9908-ab99eee7e32d","1780453729912_3mhoy2.webp","nyvarastore/products/1780453729912_3mhoy2.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780453729912_3mhoy2.webp","copied","17.4"
"38","colors/4fd82a75-40cc-4b2f-b1a4-53adffdddd5d/ img1","1780688717879_h3322o.JPG","nyvarastore/products/1780688717879_h3322o.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780688717879_h3322o.JPG","copied","2284.8"
